datetime,device_total(KB),device_receive(KB),device_transport(KB),package,pid,pid_rx(KB),pid_tx(KB),pid_total(KB)
2023-02-23 13-38-35,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-37,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-39,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-41,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-43,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-45,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-47,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-49,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-51,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
2023-02-23 13-38-53,0.0,0.0,0.0,com.baidu.tieba,9702,0.0,0.0,0.0
